,,1997,,1998,,1999,,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,
Code,Area,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %
E09000001,City of London,530.8,2.5,544.3,2.4,610.4,2.7,639.6,2.7,671.8,2.8,679.6,3.4,710.2,3.5,747.8,3.0,784.4,2.8,801.7,3.2,814.5,3.2,862.4,3.3,879.3,3.1,891.9,3.6,903.9,3.1,869.8,2.5,899.0,3.0,877.2,2.8,879.3,2.4,908.6,2.5,938.3,2.7,984.8,3.1,986.5,2.8
E09000002,Barking and Dagenham,288.0,7.7,363.9,7.5,350.0,5.8,374.9,5.9,355.5,6.0,388.7,7.3,391.9,9.7,453.2,7.8,447.8,6.2,450.6,6.8,492.4,7.9,475.8,7.7,483.9,6.7,488.2,5.1,517.5,6.7,544.0,6.2,566.6,7.6,447.4,11.0,470.0,9.1,479.1,6.6,460.1,6.8,489.2,4.8,450.5,7.4
E09000003,Barnet,271.3,5.5,315.5,5.3,317.4,4.7,287.9,6.9,319.7,6.5,321.5,5.9,349.8,6.3,386.4,6.6,383.3,6.5,405.4,5.8,399.3,7.1,419.5,5.6,433.0,5.9,428.5,6.0,448.6,4.4,450.1,5.2,458.5,4.9,451.0,5.3,458.8,5.9,430.1,6.8,445.4,6.8,410.9,6.8,447.8,5.8
E09000004,Bexley,266.6,8.1,294.4,7.6,312.1,6.8,320.8,5.2,323.0,5.9,340.0,7.2,350.0,6.1,256.0,8.8,379.4,6.7,371.2,5.8,375.6,7.9,376.1,9.3,395.6,7.9,416.1,6.0,379.6,5.9,404.1,8.2,378.6,7.1,417.8,6.5,416.7,6.5,446.3,6.2,450.3,6.5,466.6,6.9,478.2,7.0
E09000005,Brent,301.1,4.9,319.8,5.3,327.1,5.4,361.0,5.5,361.0,6.2,355.8,6.1,383.9,4.9,396.6,5.2,416.6,4.0,445.0,5.0,430.3,5.4,436.8,6.3,460.2,4.4,426.7,6.0,421.6,6.3,421.6,5.5,439.3,5.9,442.8,6.4,483.3,6.7,488.6,4.2,459.7,6.3,440.8,5.1,554.6,5.2
E09000006,Bromley,218.2,6.7,205.9,6.6,199.9,7.1,208.0,6.4,183.3,5.0,187.2,4.9,221.2,4.7,260.0,7.4,352.0,5.9,369.0,4.5,364.8,6.2,382.3,6.7,390.3,5.6,384.2,5.9,410.1,5.6,413.3,6.9,408.2,5.5,400.5,5.6,461.9,5.0,436.6,4.8,434.4,6.6,410.5,6.1,479.1,5.3
E09000007,Camden,392.8,2.3,413.0,2.8,428.2,2.7,455.4,2.5,489.8,2.6,499.0,2.9,525.5,3.0,537.4,3.1,536.6,2.9,559.7,2.4,555.8,2.8,613.3,2.8,613.4,2.3,632.4,2.6,627.8,2.3,630.0,1.9,625.3,2.2,612.0,2.9,617.5,2.1,628.7,2.2,632.5,2.7,662.1,2.3,684.2,2.3
E09000008,Croydon,304.5,4.6,323.3,3.8,332.7,4.1,351.6,4.4,359.1,4.3,368.0,4.1,379.5,4.0,395.5,5.3,373.1,4.5,412.3,4.9,404.5,5.1,433.6,5.3,448.9,4.4,472.6,4.0,456.7,5.6,484.5,5.1,475.0,5.4,468.3,4.6,459.0,5.6,504.7,4.4,511.1,4.6,514.4,4.5,537.3,4.5
E09000009,Ealing,338.7,3.6,347.4,3.9,365.6,4.0,373.2,4.1,382.5,4.6,406.7,4.6,423.0,4.6,438.3,4.7,443.1,5.1,438.6,4.0,459.1,5.0,478.5,4.7,480.9,3.6,489.4,4.0,470.7,4.4,492.9,4.7,484.3,3.8,452.2,5.0,479.1,4.4,474.2,4.2,482.3,3.9,504.1,4.2,501.4,5.4
E09000010,Enfield,286.1,6.6,299.9,6.0,302.2,5.3,339.6,5.9,364.2,6.6,361.8,6.2,372.6,5.5,432.7,5.4,381.5,6.3,398.3,6.3,420.0,5.7,386.4,6.7,427.5,5.3,420.3,5.6,426.3,5.1,430.7,5.8,418.9,5.0,395.6,5.3,431.3,4.3,430.6,5.9,438.9,5.8,421.1,6.7,402.6,5.8
E09000011,Greenwich,299.0,6.5,312.0,7.0,329.0,5.9,323.8,7.1,344.3,6.7,346.8,6.6,377.4,7.5,383.9,8.3,427.0,6.2,412.9,7.6,450.9,7.9,431.2,7.4,455.0,6.1,487.8,5.4,458.4,6.1,464.9,6.1,468.5,5.6,466.8,5.6,466.8,7.1,447.9,6.2,498.3,6.3,491.7,6.7,447.2,6.0
E09000012,Hackney,388.1,3.8,434.4,5.0,434.4,4.5,419.0,6.7,438.0,4.9,419.0,6.3,443.9,5.2,459.3,5.4,492.8,5.1,517.8,4.8,498.2,4.4,541.4,5.9,546.6,4.9,582.7,5.8,547.8,4.8,531.4,5.3,523.8,5.4,509.3,6.0,506.3,5.7,538.4,4.9,541.8,4.7,549.2,4.0,574.9,6.2
E09000013,Hammersmith and Fulham,397.3,4.3,388.1,4.2,422.4,5.1,438.3,3.9,463.1,3.8,503.9,4.1,518.3,3.9,516.6,4.0,517.4,4.3,517.4,4.9,540.4,4.9,589.8,4.7,593.5,4.4,576.2,4.3,604.5,3.9,584.7,4.0,551.2,4.1,571.4,3.8,563.6,3.7,590.6,3.4,605.3,3.3,691.0,2.5,615.2,4.0
E09000014,Haringey,300.0,6.8,281.6,8.2,326.4,5.4,343.1,5.8,338.7,6.1,344.7,7.0,366.6,6.4,377.7,5.6,390.6,7.1,403.7,6.4,432.5,6.4,424.7,6.9,431.0,8.1,460.0,7.1,425.1,7.4,468.4,7.7,488.0,7.0,463.6,7.1,479.1,6.5,462.9,6.7,460.0,6.1,468.1,6.9,492.8,7.5
E09000015,Harrow,305.4,6.7,338.0,8.1,330.1,8.7,327.0,7.7,357.2,6.7,368.9,6.2,369.3,6.5,403.0,6.3,389.7,6.0,403.3,6.0,395.6,6.4,416.2,7.2,424.1,7.7,362.0,6.6,373.8,6.9,407.3,6.7,332.6,6.9,322.7,5.3,367.0,7.1,460.0,9.6,415.3,10.0,409.9,7.1,474.5,7.4
