2008,2009,2010,2011,2012,2013,2014,2015,2016
22189,20558,19341,20019,18840,18935,17009,17566,18360
20841,19154,19341,18954,17669,17039,15846,16375,17666
21871,22818,22481,21094,21243,17524,17886,18684,18674
21761,20670,20833,19538,18310,17255,16590,17030,18239
22728,21661,21467,21667,20072,17642,17215,18381,19681
22354,22088,21678,20441,20015,17225,17606,18969,19835
22999,21984,21870,21282,19739,18961,18393,19636,20533
21033,20407,20639,20523,19975,17445,16754,17852,19243
20698,20418,20756,18477,18151,16841,17380,17663,18992
21856,21136,21376,19507,19573,18424,18124,19119,20018
20956,20729,20868,19783,19790,18079,18030,19241,19214
19151,18631,17193,17611,18259,16701,17260,18651,19167
