Code,Area,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,,,,,,,,,,,,,,,,,,,,,,
E09000001,City of London,"33,020","34,903","39,104","39,750","41,795","43,347","45,000","46,292","49,955","50,503","52,092","52,271","54,381","54,000","54,202","54,710","54,034","55,487","56,295","61,203","61,636"
E09000002,Barking and Dagenham,"21,480","22,618","22,323","24,813","25,358","26,089","26,680","26,549","30,200","29,396","30,973","28,527","28,201","33,131","32,248","32,698","33,018","30,994","28,553","29,995","28,738"
E09000003,Barnet,"19,568","21,761","20,916","23,112","23,828",#,"27,033","26,071","27,436","27,978","30,496","30,000","30,237","29,594","29,353","31,162","30,900","32,623","32,143","29,927","31,624"
E09000004,Bexley,"18,621","19,363","20,217","21,101","22,247","20,946","23,936","24,719","26,457","28,326","28,222","27,738","28,638","27,440","28,512","28,505","29,664",#,"30,733",#,"31,642"
E09000005,Brent,"18,532","22,348","21,878","21,350","23,018","23,323","24,209","25,279","25,763","27,326","27,503","25,997","26,772","27,577","28,034","29,514","29,987","30,699","30,134","30,366","31,739"
E09000006,Bromley,"16,720","16,401","15,684","16,635","19,042","21,192","24,241","25,715","25,666","27,236","26,951","27,712","28,163","28,082","28,126","27,926","30,444","30,861","29,819","30,762",#
E09000007,Camden,"23,677","25,484","27,386","27,432","30,002","30,510","31,358","32,418","33,059","35,314","36,375","36,527","35,967","36,962","36,336","36,748","36,970","37,817","38,147","39,198","40,196"
E09000008,Croydon,"19,563","21,339","20,889","22,675","22,838","24,371","24,652","26,049","25,965","27,482","28,225","28,586","28,979","28,974","30,939","31,154","30,628","31,479","32,109","33,804","35,237"
E09000009,Ealing,"20,580","22,512","23,862","24,542","24,349","26,722","27,235","26,354","27,490","29,439","28,234","28,732","28,646","31,104","29,733","28,825","28,657","29,241","30,259","29,928","31,021"
E09000010,Enfield,"19,289","22,467","24,136","24,654","22,463","27,414","24,594","25,088","26,325","25,550","27,828","26,967","26,412","27,123","25,805","25,805","26,230","28,918","29,134","29,238","28,258"
E09000011,Greenwich,"21,236","22,121","20,761","21,846","23,600","25,387","26,330","27,363","29,319","30,766","29,871","31,821","29,932","30,097","29,251","28,954","30,497","30,180","32,635","33,163","33,081"
E09000012,Hackney,"23,249","24,083","24,095","24,582","25,149","26,687","28,923","30,105","28,996","31,589","33,107","35,149","33,512","34,803","33,097","33,116","31,566","32,404","33,618","35,286","35,020"
E09000013,Hammersmith and Fulham,"25,000","25,264","26,319","28,012","29,831","29,830","30,787","30,464","33,535",#,"36,525","35,033","36,143","35,136","34,554","33,688","34,652","35,000","36,972","40,972","37,990"
