code,Area,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,,,,,,,,,,,,,,,,,,,,,,
E09000001,City of London,"22,515","24,516","25,930","27,016","28,352","29,427","30,473","32,000","31,682","33,251","33,649","34,535","35,104","36,659","35,503","35,816","35,860","35,999","37,404","39,021","38,323"
E09000002,Barking and Dagenham,"15,770","17,663","17,031","17,397","17,980","19,361","17,919","18,466","19,772","19,587","20,756","21,390",#,"23,279","21,663","22,509","21,573","21,323","19,809","21,873","20,980"
E09000003,Barnet,"14,646","15,536","15,554","16,251","17,144",-,-,"18,695","20,944",#,"22,567","21,040","21,219","21,034","20,845","21,651","22,104","22,575","22,609","19,785","21,661"
E09000004,Bexley,"13,604","15,042","15,787","15,321","17,222","14,880","16,640","18,655","17,859","18,999","19,054","19,904","20,008","19,023","19,150","20,124","19,730",#,"21,852","21,123","21,440"
E09000005,Brent,"13,433","15,631","15,717","15,340","16,629","17,227","17,480","18,529","17,820","19,407","20,127","18,750","18,247","19,999","19,732","18,833","19,533","21,153","19,321","20,715","22,818"
E09000006,Bromley,"11,888","12,603","11,174","11,502","12,806","14,619","17,326","19,230","18,989","19,077","19,251","18,925","18,708","19,483","20,296","19,996","21,575","21,931","19,682","21,776",#
E09000007,Camden,"17,509","18,712","20,519","20,826","21,826","22,319","23,122","24,000","24,369","26,001","26,754","27,162","26,368","27,004","26,544","26,548","27,015","27,580","28,420","29,015","29,315"
E09000008,Croydon,"14,551","15,980","15,651","16,880","17,065","18,181","17,068","19,226","18,628","19,453","20,584","21,099","20,562","21,545","21,654","21,817","22,407","21,525","23,231","25,460","26,094"
E09000009,Ealing,"15,147","16,385","18,119","17,368","18,356","19,512","20,543","19,823","21,183","21,875","21,282","20,824","20,584","21,113","21,000","20,355","20,268","19,715","22,131","21,460","22,824"
E09000010,Enfield,"13,722","15,722","16,932","16,765","16,374","19,087","17,407","17,543","18,445","18,649","19,488",#,"19,628","20,150","18,689","18,780","19,805","21,052","21,084","21,203","21,720"
