Row #,code,area,year,number_of_jobs,job_density
1,E09000001,City of London,2000,361000,67.1
2,E09000002,Barking and Dagenham,2000,57000,0.56
3,E09000003,Barnet,2000,138000,0.67
4,E09000004,Bexley,2000,76000,0.55
5,E09000005,Brent,2000,122000,0.67
6,E09000006,Bromley,2000,115000,0.62
7,E09000007,Camden,2000,291000,2.05
8,E09000008,Croydon,2000,160000,0.73
9,E09000009,Ealing,2000,134000,0.64
10,E09000010,Enfield,2000,113000,0.63
11,E09000011,Greenwich,2000,84000,0.6
12,E09000012,Hackney,2000,102000,0.75
13,E09000013,Hammersmith and Fulham,2000,120000,1
14,E09000014,Haringey,2000,74000,0.48
15,E09000015,Harrow,2000,81000,0.59
16,E09000016,Havering,2000,89000,0.63
17,E09000017,Hillingdon,2000,177000,1.11
18,E09000018,Hounslow,2000,146000,1
19,E09000019,Islington,2000,173000,1.36
20,E09000020,Kensington and Chelsea,2000,147000,1.31
21,E09000021,Kingston upon Thames,2000,85000,0.85
22,E09000022,Lambeth,2000,140000,0.73
23,E09000023,Lewisham,2000,76000,0.44
24,E09000024,Merton,2000,84000,0.66
25,E09000025,Newham,2000,79000,0.5
26,E09000026,Redbridge,2000,83000,0.53
27,E09000027,Richmond upon Thames,2000,82000,0.7
28,E09000028,Southwark,2000,182000,1.05
29,E09000029,Sutton,2000,78000,0.67
30,E09000030,Tower Hamlets,2000,152000,1.15
31,E09000031,Waltham Forest,2000,74000,0.5
32,E09000032,Wandsworth,2000,127000,0.65
33,E09000033,Westminster,2000,616000,4.23
34,E12000001,North East,2000,1069000,0.66
35,E12000002,North West,2000,3196000,0.75
36,E12000003,Yorkshire and The Humber,2000,2360000,0.75
37,E12000004,East Midlands,2000,1995000,0.75
38,E12000005,West Midlands,2000,2588000,0.78
39,E12000006,East,2000,2621000,0.77
40,E12000007,London,2000,4618000,0.95
41,E12000008,South East,2000,4300000,0.84
42,E12000009,South West,2000,2464000,0.81
43,W92000004,Wales,2000,1255000,0.69
44,S92000003,Scotland,2000,2509000,0.76
45,N92000002,Northern Ireland,2000,762000,0.72
46,E92000001,England,2000,25210000,0.8
47,K04000001,England and Wales,2000,26464000,0.8
48,K03000001,Great Britain,2000,28973000,0.79
49,K02000001,United Kingdom,2000,29735000,0.79
50,E09000001,City of London,2001,339000,59.14
51,E09000002,Barking and Dagenham,2001,54000,0.52
52,E09000003,Barnet,2001,138000,0.65
53,E09000004,Bexley,2001,75000,0.54
54,E09000005,Brent,2001,116000,0.62
55,E09000006,Bromley,2001,114000,0.61
56,E09000007,Camden,2001,294000,1.98
57,E09000008,Croydon,2001,156000,0.71
