Row #,code,area,year,active_enterprises,births,birth_rate,deaths,death_rate,births,1_year_survival_number,1_year_survival_rate,2_year_survival_number,2_year_survival_rate,3_year_survival_number,3_year_survival_rate,4_year_survival_number,4_year_survival_rate,5_year_survival_number,5_year_survival_rate
2,E09000002,Barking and Dagenham,2004,3120,480,13.8,410,11.8,480,460,95.8,370,77.1,290,60.4,235,49,185,38.5
11,E09000011,Greenwich,2004,5605,975,17.4,745,13.3,975,925,94.9,750,76.9,590,60.5,470,48.2,390,40
12,E09000012,Hackney,2004,9285,1445,15,1280,13.3,1445,1360,94.1,1100,76.1,875,60.6,740,51.2,640,44.3
25,E09000025,Newham,2004,5160,965,17.1,820,14.5,965,905,93.8,685,71,525,54.4,420,43.5,360,37.3
30,E09000030,Tower Hamlets,2004,9590,1855,18.3,1400,13.8,1855,1760,94.9,1425,76.8,1125,60.6,930,50.1,770,41.5
31,E09000031,Waltham Forest,2004,6805,1130,16.8,1065,15.8,1130,1050,92.9,830,73.5,635,56.2,520,46,420,37.2
53,E09000002,Barking and Dagenham,2005,3190,500,16,395,12.7,500,475,95,385,77,285,57,225,45,170,33.9
62,E09000011,Greenwich,2005,5855,1000,17.8,720,12.8,1000,955,95.5,795,79.5,625,62.5,505,50.5,405,40.6
63,E09000012,Hackney,2005,9340,1360,14.6,1115,12,1360,1285,94.5,1080,79.4,855,62.9,695,51.1,575,42.5
76,E09000025,Newham,2005,5215,1950,37.8,785,15.2,1950,1895,97.2,1720,88.2,1000,51.3,420,21.5,325,16.6
81,E09000030,Tower Hamlets,2005,9815,1705,17.8,1275,13.3,1705,1610,94.4,1335,78.3,1050,61.6,845,49.6,610,35.8
82,E09000031,Waltham Forest,2005,6850,1110,16.3,1005,14.8,1110,1035,93.2,825,74.3,635,57.2,510,45.9,395,35.6
104,E09000002,Barking and Dagenham,2006,3280,485,15.2,345,10.8,485,465,95.9,390,80.4,305,62.9,230,47.5,190,39.2
113,E09000011,Greenwich,2006,6075,940,16.1,695,11.9,940,885,94.1,740,78.7,580,61.7,445,47.6,375,39.9
114,E09000012,Hackney,2006,9580,1330,14.2,945,10.1,1330,1270,95.5,1045,78.6,860,64.7,670,50.5,575,43.2
127,E09000025,Newham,2006,5340,900,17.3,625,12,900,870,96.7,680,75.6,515,57.2,390,43.5,315,35
132,E09000030,Tower Hamlets,2006,10120,1585,16.1,1185,12.1,1585,1530,96.5,1250,78.9,1000,63.1,785,49.3,650,41
133,E09000031,Waltham Forest,2006,7000,1155,16.9,905,13.2,1155,1110,96.1,895,77.5,710,61.5,485,41.8,385,33.3
155,E09000002,Barking and Dagenham,2007,3455,510,15.5,360,11,510,505,99,405,79.4,290,56.5,225,44.1,195,38.2
164,E09000011,Greenwich,2007,6370,995,16.4,685,11.3,995,930,93.5,775,77.9,580,58.1,465,46.7,395,39.7
165,E09000012,Hackney,2007,10160,1520,15.9,1105,11.5,1520,1455,95.7,1235,81.3,940,61.9,775,51,700,46.1
178,E09000025,Newham,2007,5635,940,17.6,695,13,940,870,92.6,690,73.4,505,53.8,405,43.1,340,36.2
183,E09000030,Tower Hamlets,2007,10670,1695,16.7,1265,12.5,1695,1575,92.9,1295,76.4,970,57.2,785,46.3,670,39.5
184,E09000031,Waltham Forest,2007,7120,1020,14.6,900,12.9,1020,970,95.1,775,76,575,56.4,465,45.6,390,38.2
206,E09000002,Barking and Dagenham,2008,3740,720,20.8,420,12.2,720,675,93.8,485,67.7,355,49.3,300,41.7,250,34.7
215,E09000011,Greenwich,2008,6570,1045,16.4,740,11.6,1045,970,92.8,715,68.5,530,50.7,450,43.1,375,35.9
216,E09000012,Hackney,2008,10765,1740,17.1,985,9.7,1740,1595,91.7,1195,68.8,925,53.2,765,44,645,37.1
229,E09000025,Newham,2008,5935,1180,20.9,730,13,1180,1095,92.8,740,62.6,530,44.9,435,36.9,345,29.2
234,E09000030,Tower Hamlets,2008,11490,2045,19.2,1260,11.8,2045,1765,86.3,1355,66.3,1020,49.9,870,42.5,715,35
235,E09000031,Waltham Forest,2008,7180,1095,15.4,930,13.1,1095,1000,91.3,775,70.9,590,53.9,490,44.7,420,38.4
257,E09000002,Barking and Dagenham,2009,3895,615,16.4,575,15.4,615,560,91.1,415,67.5,320,52,245,39.8,205,33.3
266,E09000011,Greenwich,2009,6695,920,14,970,14.8,920,860,93.5,695,75.5,545,59.2,450,48.9,375,40.8
