Row #,code,area,year,active_enterprises,births,birth_rate,deaths,death_rate,births,1_year_survival_number,1_year_survival_rate,2_year_survival_number,2_year_survival_rate,3_year_survival_number,3_year_survival_rate,4_year_survival_number,4_year_survival_rate,5_year_survival_number,5_year_survival_rate
1,E09000001,City of London,2004,11980,1175,9.7,1160,9.5,1175,1075,91.5,920,78.3,795,67.7,695,59.1,620,52.8
4,E09000004,Bexley,2004,6450,940,14.4,800,12.3,940,885,94.1,735,78.2,565,60.1,475,50.5,415,44.1
5,E09000005,Brent,2004,11295,1800,15.3,1745,14.8,1800,1670,92.8,1290,71.7,995,55.3,810,45,695,38.6
6,E09000006,Bromley,2004,11655,1590,13.7,1375,11.9,1590,1510,95,1265,79.6,1015,63.8,855,53.8,745,46.9
7,E09000007,Camden,2004,22910,2840,12.4,2775,12.2,2840,2690,94.7,2205,77.6,1810,63.7,1530,53.9,1350,47.5
8,E09000008,Croydon,2004,11230,1630,14.2,1580,13.8,1630,1525,93.6,1240,76.1,1000,61.3,820,50.3,700,42.9
9,E09000009,Ealing,2004,12830,2115,15.6,1780,13.1,2115,1990,94.1,1560,73.8,1210,57.2,980,46.3,820,38.8
10,E09000010,Enfield,2004,9305,1400,15.4,1200,13.2,1400,1325,94.6,1080,77.1,855,61.1,700,50,600,42.9
13,E09000013,Hammersmith and Fulham,2004,10745,1865,16.1,1540,13.3,1865,1740,93.3,1315,70.5,985,52.8,790,42.4,660,35.4
16,E09000016,Havering,2004,7570,1055,14.3,920,12.4,1055,1000,94.8,840,79.6,660,62.6,555,52.6,460,43.6
17,E09000017,Hillingdon,2004,9170,1215,13.1,1130,12.2,1215,1150,94.7,950,78.2,770,63.4,650,53.5,555,45.7
18,E09000018,Hounslow,2004,8645,1310,14.4,1135,12.5,1310,1225,93.5,995,76,780,59.5,640,48.9,530,40.5
19,E09000019,Islington,2004,12625,1870,14.1,1685,12.7,1870,1755,93.9,1405,75.1,1120,59.9,920,49.2,780,41.7
20,E09000020,Kensington and Chelsea,2004,11675,1660,12.9,1445,11.3,1660,1560,94,1255,75.6,1030,62,860,51.8,750,45.2
21,E09000021,Kingston upon Thames,2004,6680,880,13.2,885,13.3,880,835,94.9,680,77.3,555,63.1,455,51.7,380,43.2
22,E09000022,Lambeth,2004,9555,1850,18.8,1355,13.7,1850,1745,94.3,1385,74.9,1080,58.4,870,47,725,39.2
23,E09000023,Lewisham,2004,6230,1135,17.7,845,13.2,1135,1070,94.3,880,77.5,660,58.1,545,48,465,41
24,E09000024,Merton,2004,7765,1205,14.9,1135,14.1,1205,1135,94.2,900,74.7,685,56.8,550,45.6,470,39
26,E09000026,Redbridge,2004,8115,1330,17,1245,15.9,1330,1250,94,980,73.7,770,57.9,625,47,520,39.1
27,E09000027,Richmond upon Thames,2004,10855,1475,13.2,1220,10.9,1475,1410,95.6,1190,80.7,1015,68.8,860,58.3,730,49.5
28,E09000028,Southwark,2004,10730,1945,17.7,1360,12.4,1945,1820,93.6,1475,75.8,1160,59.6,950,48.8,780,40.1
32,E09000032,Wandsworth,2004,13255,2630,18.7,1860,13.2,2630,2455,93.3,1895,72.1,1455,55.3,1155,43.9,960,36.5
33,E09000033,Westminster,2004,43410,5850,13,5635,12.5,5850,5450,93.2,4410,75.4,3600,61.5,2985,51,2530,43.2
52,E09000001,City of London,2005,11970,1305,10.9,1000,8.3,1305,1225,93.9,1060,81.2,850,65.1,640,49,565,43.3
54,E09000003,Barnet,2005,19095,2425,12.3,2675,13.6,2425,2310,95.3,1885,77.7,1475,60.8,1240,51.1,1030,42.4
57,E09000006,Bromley,2005,11755,1500,12.9,1305,11.2,1500,1425,95,1190,79.3,965,64.3,795,53,635,42.4
58,E09000007,Camden,2005,22675,2570,11.2,2370,10.3,2570,2420,94.2,1990,77.4,1625,63.2,1345,52.3,1110,43.1
80,E09000029,Sutton,2005,6485,795,12.3,730,11.3,795,750,94.3,650,81.8,535,67.3,460,57.9,375,46.9
84,E09000033,Westminster,2005,42875,5300,12.2,5455,12.6,5300,4990,94.2,4090,77.2,3295,62.2,2745,51.8,2285,43.1
103,E09000001,City of London,2006,12240,1225,10.2,940,7.9,1225,1170,95.5,1005,82,860,70.2,700,57.1,615,50.2
105,E09000003,Barnet,2006,18565,2150,11.3,2315,12.1,2150,2050,95.3,1650,76.7,1340,62.3,1090,50.6,905,42.1
106,E09000004,Bexley,2006,6710,895,13.6,730,11.1,895,870,97.2,745,83.2,620,69.3,490,54.9,410,45.8
107,E09000005,Brent,2006,11330,1565,13.9,1330,11.8,1565,1495,95.5,1205,77,935,59.7,720,46.1,595,38
108,E09000006,Bromley,2006,11960,1515,12.9,1205,10.3,1515,1445,95.4,1240,81.8,1030,68,815,53.7,680,44.9
