2008,2009,2010,2011,2012,2013,2014,2015,2016
6970,6326,5970,6237,5780,5715,5605,5792,5893
6421,5773,6010,6025,5772,5246,5353,5448,5951
6786,6733,6760,6334,6873,5616,6021,6072,6487
6792,6575,6130,6151,5894,5244,5433,5759,6359
6894,6550,6248,6595,6462,5417,5895,5888,6885
6773,6713,6641,6847,6286,5835,5616,6047,6403
6947,6726,6482,6561,6183,5818,5866,6569,6745
6075,6297,5720,6331,5873,5306,5677,6064,6279
6129,6216,6009,5701,5513,5292,5799,5903,6667
6925,6445,6505,6229,6281,5876,6141,6478,6588
6528,6335,6179,6503,6530,5874,5919,6566,6542
6389,5871,5452,5825,5666,5805,5671,6362,6403
