Region,Year,Pre BR,Pre SR,Post BR,Post SR
central,1,13.7,86.89,18.93,86.11
north,1,13.89,90.85,17.99,90.41
south,1,13.57,92.27,16.61,93.1
east,1,15.89,91.77,21.83,92.74
west,1,14.37,91.81,17.58,92.14
central,2,13.55,68.45,19.16,67.69
north,2,13.97,70.37,17.9,72.09
south,2,13.11,74.55,16.5,75.98
east,2,15.93,71.74,21.48,73.48
west,2,14.22,73.08,17.55,74.18
central,3,13.02,55.27,18.68,54.56
north,3,13.62,55.07,17.49,58.12
south,3,12.72,60.43,16.02,62.06
east,3,15.57,55.81,20.61,58.27
west,3,13.78,57.79,17.23,59.97
