2008,2009,2010,2011,2012,2013,2014,2015,2016
10512,10286,9404,9290,9896,9054,8431,8734,8791
9966,9189,9210,8997,8995,8288,7498,8233,8635
10474,10751,10573,10014,10428,8593,8370,9257,8956
10053,10309,10017,9230,9040,8496,7757,8698,8902
10725,11069,10087,10081,9873,8546,8326,9301,9651
10563,10870,10625,9951,9510,8391,8683,9457,9026
10950,10974,10286,10227,9722,9059,8946,9122,9965
10078,10016,9574,9806,9360,8438,8309,8657,9122
10378,9916,9869,9013,9180,8299,8736,8612,9323
10710,9867,10209,9833,9987,9088,9304,9152,9464
10477,9984,9926,9689,10064,8625,9376,9173,9140
10363,9161,8480,9109,8905,7960,9081,8894,9264
