2008,2009,2010,2011,2012,2013,2014,2015,2016
11278,10988,10139,11081,11556,10231,9182,9384,9802
10928,10372,10664,10519,10361,9241,8329,8835,9303
10871,12014,12457,11727,11998,9600,9397,9892,9909
10697,11245,11929,11634,10570,9048,9032,9359,10018
11290,11770,12408,12724,11611,9556,9774,10378,11234
11106,11994,12294,11971,10934,9400,9767,10047,10785
11472,11931,12988,12101,11426,9935,9983,10015,10978
10775,10841,11390,11455,10895,9381,9246,9487,10532
10815,11152,11513,10608,10154,9166,9479,9756,10474
11935,11961,11759,11710,10983,9698,10401,10646,10894
11543,11237,11755,11719,11069,9839,9998,10634,10099
10591,10216,9922,10715,10126,8885,9465,10205,10342
