"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32"
"Barking and Dagenham",-0.110044840054437,0.0147777878054504,0.146534812808442,-0.0349878006158809,0.0618754557499568,-0.0141275519810948,0.00378261511043135,-0.00977952172053439,0.0441710500430238,-0.124068265230552,0.08725053138621,0.00612038824633238,0.152569203148915,-0.0618289899407259,-0.160520275819615,0.10765340650036,0.170641851551352,0.0826839964172819,0.300709804516496,-0.361409327368183,-0.127966518493074,-0.504057532889253,0.11482424266703,0.168933570790227,0.156130203655343,0.289754936131675,-0.138446550578998,-0.313724922692928,-0.191541837274097,-0.0697767400388311,-0.04806961063933,0.180062940740942
"Barnet",-0.129195771145545,0.1061110387254,-0.0652940403260026,0.0523738458946985,0.0987866244374379,0.180813895022849,-0.0955105105269698,0.047869281330152,-0.129256733579065,0.235978500573253,0.287317382414967,-0.126899948032563,0.203075500012699,-0.103749521836756,-0.196227273320448,-0.228508062302977,-0.181504948051142,-0.145376839707424,0.188014985361057,0.083889708386497,0.251206143922372,-0.107855363970508,-0.113931560662389,0.183177300641368,-0.309348881828755,-0.230453128253184,0.120524984776169,-0.31339205144708,0.154148114023914,0.165025666544524,-0.25885042705939,-0.0110250151396285
"Bexley",-0.106978578077688,0.0795234598484758,0.142833710551654,0.212670866541958,-0.0519940157472796,0.0325819175267009,0.0543635728864673,-0.080302193108485,-0.130507269312052,-0.0233329565064366,0.0115672903022266,0.0566335179049438,0.0360910214136959,0.0881176592445266,0.0520256847686835,0.117714282212165,-0.110320319979104,0.00789069858693622,0.171293476639533,0.0453473733428985,0.0483672194362702,-0.221768794481099,-0.0404688838872472,-0.58677899829888,0.182609276279089,-0.0903989038293478,0.452673547839579,0.0867410321082139,0.011251104464232,0.225417629468784,-0.00219776594481052,0.332994490237844
"Brent",-0.177387641836963,0.053978424171407,-0.211071793784803,-0.115194063517227,0.294207090212867,0.13732372818461,-0.348630776629017,0.00554735720338202,0.148213798070717,-0.0721295813358097,0.0422654383059801,0.118529198868276,0.0781923059515317,-0.161461702341563,0.267807401878569,0.150217691665844,-0.311599349179759,-0.00414977178086394,0.389396280319106,0.308640305845992,-0.142873429834191,0.134701705025644,-0.0411138916494659,0.0728470556641311,0.224436036506907,0.0999267244008137,-0.16982122300557,0.0989583736590985,-0.000905678368033493,0.0716931175545397,0.0811092953594163,0.105219418686424
"Bromley",-0.134900727456561,0.0360371589047703,0.218918292560882,0.262889247169928,-0.0359414869708298,-0.112014614269246,-0.0197874252189243,0.218090067468978,0.00397527309511447,-0.0636355519073984,0.0777918699596564,-0.0133070905460372,0.0673425007993798,0.351924223054941,0.0988329344096214,-0.161909072525183,0.00490649059801565,-0.455557647147538,0.130878551857054,0.065963967518401,0.341646473197423,-0.00727543000151372,0.209506279023013,0.0129633080860923,0.295970937246433,-0.0698998160412054,-0.255510608403389,-0.004065112179372,0.0337371052324606,-0.11956257386416,0.212946855805648,-0.136275281685368
"Camden",-0.260159369434176,0.105243908612966,-0.256595516728102,-0.000264306783271298,0.33070283339537,-0.355021448032142,0.279291550826589,-0.164755961664635,0.359518087412867,0.0632907690726934,-0.189210027368017,-0.0613747651722481,-0.0321526527889399,0.0999511425093757,-0.421458709497652,0.162009485868588,-0.114389308121866,-0.229915158614772,0.0066858931812559,0.0353320471957942,-0.0283119389539225,0.000643171411051646,-0.118904293688199,-0.0778759085275494,-0.0256345075566511,-0.078551071914055,0.0658168821932289,-0.0450755163380286,-0.104807809552553,-0.0689026238206967,0.0694160853788494,-0.0716663673811363
"Croydon",-0.152422709835398,-0.0507308909928362,0.0893636731710303,-0.193908494504029,0.120428143112264,-0.0840356783718011,-0.108284581439572,0.269578594927074,-0.282813459726476,-0.150097134542125,0.0984452295405789,-0.257057276914815,-0.358074133221852,0.275187411097883,-0.228222220829815,0.0867754944227451,-0.163892295424665,0.335994233931747,-0.0703249977671944,0.25126217823262,-0.149980398055117,-0.258997866830111,0.011899433188739,-0.0190439869377104,0.0729941471459437,-0.203105547904381,-0.123337385717299,0.00601335902823392,0.0950177568404035,-0.0400949902012886,-0.0201735871982235,-0.100102592473972
"Ealing",-0.238284987540632,-0.191644451584482,0.290770605382799,-0.330280524279485,0.21620033816254,0.0993500745260016,-0.0381002858231028,-0.165896643036821,-0.0228908550616729,-0.316578160785573,-0.0245034117036691,0.221664081406408,0.0269515003316046,-0.188165113182016,-0.217022492401679,-0.00635750726856423,0.259128688254279,0.114794282733861,0.019447182376212,-0.0175458322976412,0.430357579276506,0.218076545748094,0.0499552253909463,-0.0657677963770189,0.00589363480696981,-0.20409892439984,-0.0224251616091412,0.0548873916560719,-0.0762361954165062,0.137170632829618,0.0504707908887853,-0.0232744904396413
"Enfield",-0.112400835703345,0.161532833665193,-0.020593483629448,0.140661583212009,-0.0288925581303411,0.35553816926028,0.039121482152614,-0.0888445844287347,-0.0288167357398347,0.320995961827067,0.173955455378694,-0.138863046065102,0.0842186157595486,0.00241844965751045,-0.135859151890742,0.218894059620345,0.51861787908477,0.0427748292681861,-0.075866962424146,0.346998971553869,-0.176630804494422,0.112525905930373,0.0114148659841983,-0.134928257323248,0.145110509794605,-0.037475531625498,-0.153046596444345,-0.132536447574969,-0.162433641524346,0.0336227406976387,0.134315851950671,-0.0967104159832365
"Greenwich",-0.195449235209553,0.149274433388183,0.31785627189202,0.229348593611776,-0.176253620178234,-0.0295210140843696,0.0433425863577174,0.135473246243784,0.0537958322438305,-0.214640811986712,0.0667855961007998,0.0396693706198468,0.118515764832132,0.0930803100566594,0.0295537193512128,0.27137129762797,-0.10908738266053,0.18769382372727,0.00348025148245366,-0.0750995870002206,-0.00908651606189186,0.299313130143202,-0.600707182244951,0.128981776993647,-0.0799875199008186,0.0531950044230563,0.0134977710577632,-0.174843547728701,0.0409595739993741,-0.127245971562588,0.0540634087879117,-0.0279445936786251
"Hackney",-0.163310164312064,0.244983332320306,-0.0223693164223642,-0.102896079271449,-0.148638455407003,0.00673546530417366,0.326579567600044,0.108356193248886,-0.207748954836181,-0.0563696882391045,0.19271880656068,-0.323718355886865,-0.308603189313849,-0.474279083305558,0.0269163158155207,0.0572273987057389,-0.163519917075844,-0.139596274350784,-0.00383456089849418,-0.0272629010175233,0.167848893037397,0.15466394824182,0.114777800210234,0.0883590810980334,0.145814159759713,0.164804323289136,0.106533786705615,0.0713113362995,-0.212354949899268,-0.0906416713633735,0.0626494256884175,0.0842129546735511
"Hammersmith and Fulham",-0.131085604691859,-0.0408331331239151,0.0307167345390691,-0.116149819043142,0.143509295547773,-0.0434160507130948,-0.157473180516895,-0.046302204003989,-0.0524763512621763,-0.0483296457744737,-0.058298817429882,-0.0393388112944528,0.262922640833698,-0.0451396944215662,0.119690491324766,-0.147473636360945,0.0616560812539062,-0.0999813078474019,-0.496855721541428,0.331558859391517,0.128611381033433,-0.252351460883841,-0.21514003464272,0.103203866851509,0.211065158753298,0.250403805657095,0.270631144718496,-0.0137885103876913,-0.0819245446742321,-0.293492140202961,-0.121892867299236,0.0622515722626886
"Haringey",-0.159589929821001,0.383899988479722,-0.0692677343162514,0.139300464834939,-0.0900132104701548,0.0026680944612565,-0.250507135117996,0.2802046856964,-0.070989979653576,0.117570537332014,-0.17115838747656,0.353052747608066,0.187968274104446,-0.131624669272709,-0.272311901934562,0.181556281488483,-0.171617867287233,0.121453390223781,-0.331876644389725,-0.165490045923676,0.0405298211004675,0.0277719109973052,0.321508597331895,0.0259708249935013,0.0845078183224914,-0.062941602849131,-0.0442335946058437,0.10434739082655,0.00283835730697972,0.0283575356802612,-0.0893054966126919,-0.00830843598170821
"Harrow",-0.0930404022032711,-0.000243167303143541,0.0574904715008609,0.0190605576680603,0.059506408171056,0.0816539410804514,-0.047090371042077,0.0165521866217866,-0.138694103430579,-0.0182223870313496,0.0228374609636335,0.139061256060253,0.0879449911694412,-0.155782116621409,0.0966746281598407,0.0543879975744921,-0.0694149185830857,-0.00355681912818794,0.195963279136388,0.0132837205411685,-0.0717511578389611,-0.175075495721289,0.110428768895484,-0.273675743539685,-0.399289784605059,0.0529245657685134,0.157709712417345,0.067832686644807,-0.131474662657361,-0.445448075865967,0.195785136087101,-0.528385178083043
"Havering",-0.086835457148621,0.0990865515557393,-0.0159775550704217,0.054218365219206,0.0346450174603535,0.0212891838291196,-0.0623651062795401,-0.074367565030816,0.0263657727443166,0.129199265935312,0.196301708805133,-0.151377705189295,0.125841589615061,-0.0971259728274463,-0.180045933476621,-0.303232841989387,0.0905016045683477,0.102588089811392,0.0819263975591436,-0.279894210465612,-0.047573641835886,-0.107347022454422,-0.32727507822332,-0.0389792899706917,0.151151975316907,-0.0631954834542452,-0.159207991889324,0.656321779131149,0.116236902776407,-0.124796653576462,0.0350559001851328,-0.0213757191185453
"Hillingdon",-0.174127892066388,0.252740716375885,-0.049519441769369,0.366246787529955,0.183698673800567,-0.061814926092018,-0.261809402364925,-0.0904530926701252,0.0612188708821128,-0.310383543771567,-0.127006112019013,-0.192121165358619,-0.276091273751876,-0.0737404558221763,0.250570106825194,0.0202638975544547,0.356021230679284,-0.0497442544723838,-0.0119886290458424,-0.0905162710775,-0.0684125866757524,-0.0871240222835386,0.0709627053938583,0.225813985426145,-0.115997979448085,-0.146788243545055,0.21199016658891,0.07991411927783,0.0381564111970819,0.170285185231348,-0.124155667753203,-0.137392135976529
"Hounslow",-0.149561058652582,0.117791617928659,-0.0788942621566136,-0.0648305119299586,0.0789431812210185,-0.00790948421654913,-0.137231189356263,0.00536203119796303,-0.0221026469534866,-0.0930611058682846,-0.0813750801800397,-0.124072702365384,-0.0408816060282062,-0.121203106303748,0.15321128791274,-0.388650771628001,-0.0801962255508871,-0.0213456249157605,-0.205204769225364,-0.263602957508662,-0.14490951367568,0.116562853646494,-0.132172893488367,-0.505487434106156,0.0800976480319033,-0.01139727422332,-0.293345274371013,-0.404154605428956,-0.0846816049133286,0.082448486474568,-0.0355887938883595,-0.0943156647373911
"Islington",-0.143605631604924,0.207841344529336,-0.0138391262017023,-0.0081442684375973,0.182976366483229,-0.413748443735913,0.417754860149016,-0.0116686700224456,-0.169873863538735,0.161332220831451,0.177278419944869,0.361295469789911,0.0736887866644421,-0.0308673109454163,0.353583567185115,-0.188213444214524,0.136150300868504,0.305697196522929,0.0292392618488463,0.125825237969685,-0.0496416814924264,-0.0360662612035084,0.0432506506472643,0.0963700785208064,0.0131126867423146,-0.123292743141344,-0.0805463024298689,-0.0433932426141863,0.0534157684932122,0.0489998406865295,-0.0143370463060832,0.011018749411934
