"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11"
"Acton Town",-14.17034723985,-0.685633284568121,0.0359368065023462,0.209947585341534,0.360170497968921,-0.226192629884565,0.02634213369256,0.0535509648226868,0.0826798024709621,-0.0243645075681291,0.0187126411583063
"Aldgate",-10.5962006390755,1.12374563775049,-0.671139815139719,0.0068201875925834,-0.0658864253960219,0.738843493130054,-0.0183860968025142,-0.249369941949541,0.174160607110443,0.00210985581052234,0.0633971766293677
"Aldgate East",2.41232934361992,3.9092264998429,-0.519717452452976,0.0397909382765672,-0.381377668562513,0.972382303182529,0.132617005587007,-0.450992682318175,-0.961778611108292,0.567024411037439,-0.396446272855227
"Alperton",-23.3552790215511,-0.469821077323687,0.268669415995248,-0.00898278066418223,0.0128673566242408,-0.200769198350289,0.0321284940788615,0.0342099417064582,0.0217971056448982,-0.0022065286167807,0.0170413192575206
"Amersham",-26.0844966544302,-0.179098305174214,0.245576100303709,0.151587660509944,-0.0416651982196223,-0.194540608589576,0.0516590724451336,0.208560359224343,0.0603680428156841,-0.119379591687327,0.0136100496545368
"Angel",28.0752021717568,-2.27435283532242,-0.353498568919151,-0.547317488966487,0.17417122464744,-0.102851388309217,0.291847493654469,-0.649839016312392,-0.372361627331816,0.17653402813727,0.369036863525486
"Archway",-4.90447959762605,-0.121319013388354,-0.131869302123821,-0.186899793653519,0.758704310160561,-0.0690987047968723,0.696457677273811,-0.257794029862209,-0.0224393601501925,0.00825916039288473,0.114486148834174
"Arnos Grove",-18.8673259067259,-0.501179971381278,0.155495220369638,0.174686448556223,-0.0489476872790829,-0.144335193741402,-0.00830951231636162,0.111503023661058,-0.025655920752037,0.157005049114714,-0.0255650933413064
"Arsenal",-23.6128674388254,-0.768142032667317,0.164992254617058,-0.259844355977444,-0.30821927099684,-0.329993314567751,-0.180246697014939,-0.183282694582969,0.163288359769807,-0.00797272748527417,0.0338191678720744
"Baker Street",58.3561764852222,-1.31671439416394,1.65467522162972,0.588991950002185,-1.74658468961503,-0.0629082430383683,1.25948743469085,0.146032263330874,-0.278385700836418,-0.166264845256283,0.254899066193296
"Balham",8.17401777973409,0.646955572075014,-0.564519260098205,0.418579443617045,0.984751094016005,0.298446017500694,0.750172517433009,-0.051464714800629,-0.0711791932497323,0.340896010781087,0.537832818410241
"Bank & Monument",133.575508107737,10.4983645649193,-6.61335913206898,-1.90477294794588,3.72215590901487,1.60648147734315,3.38743999539342,0.965019596136509,1.96544564242129,-0.00646321102547542,0.230876040164418
"Barbican",1.02773794058098,0.401172861781379,-0.56283746163608,0.995022321975511,0.525115865675706,-0.00443198585685256,0.155671101098702,-0.236747247038092,0.174706202699072,0.282403505686675,0.156925427618105
